StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,av_untempted,av_tempted,comp1,comp2,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,ses,ses_8_TEXT,FL_9_DO
8/20/21 14:03,8/20/21 14:04,0,24.101.43.42,100,61,1,8/20/21 14:04,R_2WCf3ZYu1uWAeQB,,,,,41.09959412,-80.75229645,anonymous,EN,2,2,2,,2,2,2,2,,3,,38,4,,AV_tempted
8/20/21 14:04,8/20/21 14:05,0,97.81.175.24,100,64,1,8/20/21 14:05,R_3qU1fRd9OYuyAhE,,,,,36.17320251,-85.45359802,anonymous,EN,2,2,2,1,,2,3,1,,3,,53,4,,AV_untempted
8/20/21 14:04,8/20/21 14:07,0,69.221.155.80,100,134,1,8/20/21 14:07,R_3ReYlJzl8OX87R9,,,,,39.82910156,-86.08589935,anonymous,EN,2,2,2,2,,2,1,1,,1,,36,1,,AV_untempted
8/20/21 14:08,8/20/21 14:10,0,72.199.159.110,100,95,1,8/20/21 14:10,R_1duzmHKNlloJaE6,,,,,33.05619812,-117.2687988,anonymous,EN,2,2,2,,1,2,2,1,,3,,33,3,,AV_tempted
8/20/21 14:09,8/20/21 14:10,0,104.231.17.74,100,86,1,8/20/21 14:10,R_1nMFm7DQdQbECLd,,,,,39.79460144,-84.31999969,anonymous,EN,2,2,2,,2,3,3,2,,3,,33,3,,AV_tempted
8/20/21 14:13,8/20/21 14:14,0,98.10.58.230,100,88,1,8/20/21 14:14,R_enbpOQMwLj58Th7,,,,,43.08009338,-77.63420105,anonymous,EN,2,2,2,2,,2,1,2,,3,,31,5,,AV_untempted
8/20/21 14:13,8/20/21 14:14,0,73.228.143.226,100,67,1,8/20/21 14:14,R_1jfcybOowKotEbS,,,,,44.82659912,-93.375,anonymous,EN,2,2,2,1,,3,2,1,,3,,43,4,,AV_untempted
8/20/21 14:15,8/20/21 14:15,0,107.181.166.138,100,11,1,8/20/21 14:15,R_Duu2xwGPgiwx98B,,,,,37.78089905,-122.4244995,anonymous,EN,1,,,,,,,,,,,,,,
8/20/21 14:20,8/20/21 14:22,0,67.172.211.135,100,132,1,8/20/21 14:22,R_2VQEnTwZ4HW2xeQ,,,,,38.45550537,-77.43260193,anonymous,EN,2,2,2,,1,2,2,1,,1,,21,3,,AV_tempted
8/20/21 14:27,8/20/21 14:29,0,100.14.0.73,100,65,1,8/20/21 14:29,R_OJYAgBCRXZsuXW9,,,,,40.03640747,-75.22190094,anonymous,EN,2,2,2,,1,2,2,1,,3,,43,4,,AV_tempted
8/20/21 14:37,8/20/21 14:37,0,174.82.243.45,100,13,1,8/20/21 14:37,R_0kBWKtCixivaYoh,,,,,44.95100403,-89.53350067,anonymous,EN,1,,,,,,,,,,,,,,
8/20/21 14:37,8/20/21 14:38,0,96.4.107.33,100,92,1,8/20/21 14:38,R_zYa7pfP7KawukhP,,,,,36.04989624,-83.92279816,anonymous,EN,2,2,2,1,,2,1,2,,1,,45,4,,AV_untempted
