StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,av_forced,av_unforced,human_unforced,human_forced,comp1,comp2,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,ses,ses_8_TEXT,FL_9_DO
7/26/21 18:46,7/26/21 18:47,0,194.49.69.196,100,70,1,7/26/21 18:47,R_2tJw5ocflTMC0br,,,,,40.78759766,-74.05999756,anonymous,EN,2,2,2,1,,,,2,1,1,,3,,30,4,,AV_forced
7/26/21 18:47,7/26/21 18:48,0,199.119.1.241,100,24,1,7/26/21 18:48,R_6xOgksKhDZjWg4V,,,,,25.53329468,-80.39730072,anonymous,EN,1,,,,,,,,,,,,,,,,
7/26/21 18:47,7/26/21 18:48,0,75.176.120.196,100,53,1,7/26/21 18:48,R_3iU0lvPoinADv4D,,,,,33.97390747,-81.23449707,anonymous,EN,2,2,2,,,3,,1,2,2,,2,,21,3,,human_unforced
7/26/21 18:46,7/26/21 18:48,0,174.199.129.139,100,85,1,7/26/21 18:48,R_3KJRZGhLoUyIYsX,,,,,33.41659546,-86.77950287,anonymous,EN,2,2,2,,,,2,1,1,2,,3,,48,1,,human_forced
7/26/21 18:46,7/26/21 18:48,0,73.161.202.201,100,91,1,7/26/21 18:48,R_DP1u1Yr5HOBV1st,,,,,42.9058075,-85.53510284,anonymous,EN,2,2,2,,1,,,2,2,1,,3,,49,3,,AV_unforced
7/26/21 18:47,7/26/21 18:48,0,72.218.200.223,100,76,1,7/26/21 18:48,R_OruMkMinXFgCGVb,,,,,36.83070374,-76.31459808,anonymous,EN,2,2,2,2,,,,2,1,1,,2,,40,4,,AV_forced
7/26/21 18:47,7/26/21 18:48,0,216.245.106.73,100,76,1,7/26/21 18:48,R_3IT60n43m7xBfvi,,,,,34.31149292,-89.94429779,anonymous,EN,2,2,2,,,,1,1,1,2,,3,,31,2,,human_forced
7/26/21 18:47,7/26/21 18:49,0,72.191.234.241,100,64,1,7/26/21 18:49,R_OP51F4A7WxmMiCR,,,,,32.92190552,-96.62139893,anonymous,EN,2,2,2,,,2,,,2,2,,1,,30,3,,human_unforced
7/26/21 18:48,7/26/21 18:49,0,98.255.239.86,100,51,1,7/26/21 18:49,R_VWJJzn1oGKXkLER,,,,,37.32569885,-120.4999008,anonymous,EN,2,2,2,,,,2,1,1,1,,3,,39,4,,human_forced
7/26/21 18:47,7/26/21 18:49,0,47.22.174.3,100,82,1,7/26/21 18:49,R_2R4l4pUKHudQdPP,,,,,40.87309265,-73.87259674,anonymous,EN,2,2,2,,,,2,1,1,1,,4,,33,4,,human_forced
7/26/21 18:48,7/26/21 18:49,0,107.77.195.144,100,53,1,7/26/21 18:49,R_2ffx9aRK38TbK9y,,,,,42.51939392,-83.24819946,anonymous,EN,2,2,2,1,,,,2,1,2,,3,,23,1,,AV_forced
7/26/21 18:48,7/26/21 18:49,0,73.148.231.128,100,66,1,7/26/21 18:49,R_2uD95WvpJip26op,,,,,31.28039551,-81.53050232,anonymous,EN,2,2,2,,3,,,2,2,1,,3,,32,4,,AV_unforced
7/26/21 18:46,7/26/21 18:49,0,45.14.195.96,100,183,1,7/26/21 18:49,R_ekE5GMSKZ2jNjPz,,,,,42.88670349,-78.8927002,anonymous,EN,2,2,2,1,,,,2,2,2,,3,,,4,,AV_forced
7/26/21 18:46,7/26/21 18:50,0,160.3.100.205,100,232,1,7/26/21 18:50,R_SDxr0LTO5j6iw5b,,,,,32.82730103,-109.6266022,anonymous,EN,2,2,2,,1,,,2,2,1,,3,,41,3,,AV_unforced
7/26/21 18:47,7/26/21 18:51,0,99.125.117.165,100,195,1,7/26/21 18:51,R_2Ui9YRofBrczvay,,,,,35.94920349,-87.2963028,anonymous,EN,2,2,2,,,3,,1,2,2,,3,,47,2,,human_unforced
7/26/21 18:50,7/26/21 18:51,0,98.204.255.222,100,34,1,7/26/21 18:51,R_2ckLhqxlLVfY53s,,,,,39.62489319,-75.83509827,anonymous,EN,2,2,2,,,,1,1,1,1,,3,,31,3,,human_forced
7/26/21 18:51,7/26/21 18:51,0,73.69.185.253,100,26,1,7/26/21 18:51,R_3D7IXQcRnWzieWC,,,,,41.37640381,-72.45400238,anonymous,EN,1,,,,,,,,,,,,,,,,
7/26/21 18:50,7/26/21 18:51,0,98.181.189.253,100,55,1,7/26/21 18:51,R_AsrZAfwt2XeZimZ,,,,,36.20379639,-115.225502,anonymous,EN,2,2,2,2,,,,2,1,2,,4,,26,3,,AV_forced
7/26/21 18:51,7/26/21 18:52,0,75.118.12.226,100,1,1,7/26/21 18:52,R_2aVOk8XmhfUFUc4,,,,,40.08180237,-82.96649933,anonymous,EN,1,,,,,,,,,,,,,,,,
7/26/21 18:52,7/26/21 18:52,0,75.118.12.226,100,46,1,7/26/21 18:52,R_2EcS9m3tqAyX3Up,,,,,40.08180237,-82.96649933,anonymous,EN,2,2,2,,2,,,2,2,1,,3,,30,4,,AV_unforced
7/26/21 18:50,7/26/21 18:52,0,147.124.215.127,100,117,1,7/26/21 18:52,R_2uDSc6vOefVE8wF,,,,,32.7796936,-96.80220032,anonymous,EN,2,2,2,,,2,,1,2,1,,3,,39,3,,human_unforced
7/26/21 18:51,7/26/21 18:53,0,142.197.50.143,100,110,1,7/26/21 18:53,R_1mlmTmZx5IBTdcm,,,,,29.05110168,-82.03800201,anonymous,EN,2,2,2,,2,,,2,2,1,,3,,33,4,,AV_unforced
7/26/21 18:52,7/26/21 18:53,0,70.44.94.194,100,66,1,7/26/21 18:53,R_1d0phhnT1E90KRj,,,,,40.65609741,-75.2335968,anonymous,EN,2,2,2,,,,1,1,1,2,,3,,36,4,,human_forced
7/26/21 18:53,7/26/21 18:54,0,12.250.224.198,100,57,1,7/26/21 18:54,R_1j8PPBYYc1fw9us,,,,,34.31149292,-89.94429779,anonymous,EN,2,2,2,2,,,,2,1,1,,1,,44,4,,AV_forced
7/26/21 18:54,7/26/21 18:54,8,73.69.185.253,100,4,1,7/26/21 18:54,R_3lKuQZMdEOizzMy,,,,,41.37640381,-72.45400238,anonymous,EN,1,,,,,,,,,,,,,,,,
7/26/21 18:52,7/26/21 18:54,0,172.250.114.178,100,104,1,7/26/21 18:54,R_3HYyhPATcmjanwA,,,,,33.98930359,-118.0890045,anonymous,EN,2,2,2,,,2,,1,2,1,,4,,28,4,,human_unforced
